name, address, imageUrl, lat, lng
고유한, 부산광역시 수영구 남천동로108번길 38 골든비치 9, ../media/고유한.jpg, 35.146486, 129.113234
다기, 부산광역시 수영구 남천동 광안해변로 122, ../media/다기.jpg, 35.145745, 129.115102
프라한, 부산광역시 수영구 남천동 남천동로108번길 52, ../media/프라한.jpg, 35.145936, 129.114154
카페 피크닉, 부산광역시 수영구 수영로510번길 40 1 층, ../media/카페 피크닉.jpg, 35.150759, 129.113623
아일드블루, 부산광역시 수영구 남천동 5-13, ../media/아일드블루.jpg, 35.146085, 129.114482
카페 오뜨, 부산광역시 수영구 광안해변로 209, ../media/카페 오뜨.jpg, 35.152753, 129.117612
일리카페, 부산광역시 수영구 광안해변로 189, ../media/일리카페.jpg, 35.151404, 129.116595
샌디스, 부산광역시 남천바다로 38-1, ../media/샌디스.jpg, 35.148183, 129.114282
컵앤컵커피, 부산광역시 수영구 광안해변로 177, ../media/컵앤컵커피.jpg, 35.150454, 129.115834
브알라 카페, 부산광역시 수영구 광안해변로 165, ../media/브알라 카페.jpg, 35.149586, 129.115116
Cafe prep, 부산광역시 수영구 광안제2동 수영로528번길 38, ../media/Cafe prep.jpg, 35.152172, 129.114903
뚜버기 카페, 부산광역시 수영구 광안해변로 239, ../media/뚜버기 카페.jpg, 35.154771, 129.120148
커피 광안184, 부산광역시 수영구 광남로83번길 4, ../media/커피 광안184.jpg, 35.149775, 129.113998
워크스루, 부산광역시 수영구 수영로522번길 39, ../media/워크스루.jpg, 35.151961, 129.113851
별침대, 부산광역시 수영구 광안해변로 203, ../media/별침대.jpg, 35.152503, 129.117408
아스트릭커피, 부산광역시 수영구 광안해변로 179, ../media/아스트릭커피.jpg, 35.150587, 129.115885
아덴블랑제리, 부산광역시 수영구 광안해변로 161, ../media/아덴블랑제리.jpg, 35.149238, 129.11476
카페보배, 부산광역시 수영구 민락동 163-26번지, ../media/카페보배.jpg, 35.158407, 129.123133
스칸센, 부산광역시 수영구 남천동 5-22번지, ../media/스칸센.jpg, 35.146508, 129.113081
클러터, 부산광역시 수영구 광안로49번길 11, ../media/클러터.jpg, 35.155727, 129.117789
Unbent coffee, 부산 수영구 수영로618번길 32-7, ../media/Unbent coffee.jpg, 35.160207, 129.115617
차선책, 부산광역시 수영구 민락동 광안해변로 237, ../media/차선책.jpg, 35.154714, 129.119959
포레스트원_그린, 부산광역시 수영구 광안해변로 237, ../media/포레스트원_그린.jpg, 35.154668, 129.119905
E-coffee, 부산광역시 수영구 민락수변로 141, ../media/E-coffee.jpg, 35.156423, 129.134661
더브릿지, 부산광역시 해운대구 해운대해변로209번가길 29-1, ../media/더브릿지.jpg, 35.159477, 129.157173
오설록, 부산광역시 해운대구 우동 1352 1, ../media/오설록.jpg, 35.160913, 129.160873
